"Parcela","Cultura","IQS_ANOVA","IQS_Fuzzy","IQS_PLS","IQS_MARS","IQS_RF","IQS_ANOVA_blom","IQS_Fuzzy_blom","IQS_PLS_blom","IQS_MARS_blom","IQS_RF_blom","MetaIQS_Borda"
"MT","Sunn hemp",5.4582284219498,4.44806938826004,6.3398,4.3172431492475,4.46570241027948,0.495325504665913,-0.645630749275982,0.749254703224776,-0.689131147209014,-0.659991538619561,48.5
"MT","Sunn hemp",8.9471621191481,7.0998470961627,8.3764,7.09646034419834,6.95794067385503,1.73166439612225,1.3534061120182,1.73166439612225,1.41384503483369,1.24545931165828,100.8
"MT","Sunn hemp",8.06037966824399,7.03279644676042,7.2232,7.07154386494254,6.98478517607076,1.24545931165828,1.15034938037601,1.0245923925401,1.3534061120182,1.41384503483369,96.6
"MT","Sunn hemp",7.23458970254908,7.03466337297665,10,7.06042522097355,6.89642094643302,1.10648068751121,1.19655132690156,2.60233042765711,1.29754292861655,1.10648068751121,98
"MT","Sunn hemp",2.56239349751489,5.26788616463407,3.6095,5.2585437875391,5.22921862248175,-0.718868052822716,0.128001042354502,-0.151438742677196,0.0580563997946523,0.104633455614075,50
"MT","Sunn hemp",5.82635926868908,5.26758811168121,6.141,5.24806176449773,5.23376084922175,0.603319299671101,0.104633455614075,0.631401894239761,0.0348213172603476,0.128001042354502,66.8
"MT","Sunn hemp",3.16938155823429,5.26732202024285,3.9033,5.24016941773718,5.22031159312151,-0.270160165313734,0.0813228717724496,0.0348213172603476,0.0116050210127303,0.0813228717724496,54
"MT","Pigeon pea",6.69813244864386,7.15815639427058,7.9311,7.10559898064184,7.05194604743819,0.844933179293064,1.99268184795863,1.29754292861655,1.47994138903519,2.20041058121003,99.8
"MT","Pigeon pea",7.21838035319397,7.15983110682845,7.1866,7.10615735415948,7.08967429057051,1.06464405193839,2.20041058121003,0.986120318603346,1.55322089800153,2.60233042765711,100.2
"MT","Pigeon pea",5.6016727751464,7.20193720364288,6.956,7.11927913182404,7.01618654348746,0.575704675100676,2.60233042765711,0.913249926683609,1.63594140222522,1.8465332589292,96.6
"MT","Pigeon pea",6.55562315076817,6.23581434743753,8.655,6.23836936802657,6.24820274995295,0.718868052822716,0.913249926683609,1.99268184795863,0.913249926683609,0.812217801499913,90.6
